pattern,target_rank,target_host,worker_rank,worker_host,worker_cpu,worker_affinity,locality_tier,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",104,"n23m0236.hpc.itc.rwth-aachen.de",8,"8","cross_node",4194304,20,12629.3,16659.5,28072.4,26081.4,32399.3,36609.8,44684
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",105,"n23m0236.hpc.itc.rwth-aachen.de",9,"9","cross_node",4194304,20,12797,16581.2,20400.1,23367.6,28822.1,37219.4,47577.7
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",106,"n23m0236.hpc.itc.rwth-aachen.de",10,"10","cross_node",4194304,20,12621.9,16639.1,19537.2,22813.8,28843.5,33088.9,46429
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",107,"n23m0236.hpc.itc.rwth-aachen.de",11,"11","cross_node",4194304,20,12498.4,22535.5,28337.4,31551.3,42877.9,54365,56589
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",108,"n23m0236.hpc.itc.rwth-aachen.de",12,"12","cross_node",4194304,20,13235.1,20538.9,26643.6,31888.3,42648.3,54667.4,55179.8
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",109,"n23m0236.hpc.itc.rwth-aachen.de",13,"13","cross_node",4194304,20,12693.9,17241,19588.9,23757.7,28965,43714.8,51846.1
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",110,"n23m0236.hpc.itc.rwth-aachen.de",14,"14","cross_node",4194304,20,17118.5,28841.1,38518.7,39122.9,49898.2,55392.7,62088
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",111,"n23m0236.hpc.itc.rwth-aachen.de",15,"15","cross_node",4194304,20,12743.3,21209.6,30366.1,29207.2,35511.6,50584.1,52460.5
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",112,"n23m0236.hpc.itc.rwth-aachen.de",16,"16","cross_node",4194304,20,14978,35884.3,45223.2,42694.9,50881.2,55881.8,62305.2
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",113,"n23m0236.hpc.itc.rwth-aachen.de",17,"17","cross_node",4194304,20,13089.4,24963.9,28340.1,33482.2,44456.9,52793.7,55004.7
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",114,"n23m0236.hpc.itc.rwth-aachen.de",18,"18","cross_node",4194304,20,17606,28010,34151.4,35929.3,40393.4,54649.6,56386.3
