rank,hostname,cpu,affinity,gpu_id,pci_bus_id,status,small_bytes,large_bytes,iters,h2d_lat_min_us,h2d_lat_median_us,h2d_lat_mean_us,d2h_lat_min_us,d2h_lat_median_us,d2h_lat_mean_us,h2d_bw_median_gbps,d2h_bw_median_gbps
28,"n23g0012.hpc.itc.rwth-aachen.de",28,"28",0,0000:1b:00.0,"OK",4096,16777216,20,11.088,11.584,11.6625,10.981,11.7015,11.6655,12.7325,11.4717
28,"n23g0012.hpc.itc.rwth-aachen.de",28,"28",1,0000:2c:00.0,"OK",4096,16777216,20,10.883,11.5415,11.4644,11.057,11.6215,11.599,19.1606,16.4724
28,"n23g0012.hpc.itc.rwth-aachen.de",28,"28",2,0000:9d:00.0,"OK",4096,16777216,20,12.11,12.62,13.0528,12.359,12.6425,12.6985,18.8854,8.73239
28,"n23g0012.hpc.itc.rwth-aachen.de",28,"28",3,0000:ad:00.0,"OK",4096,16777216,20,12.071,12.7115,13.5481,12.415,12.9535,12.9882,18.7373,8.77556
29,"n23g0012.hpc.itc.rwth-aachen.de",29,"29",0,0000:1b:00.0,"OK",4096,16777216,20,10.926,11.531,11.5683,11.246,11.6645,13.0495,12.73,11.4417
29,"n23g0012.hpc.itc.rwth-aachen.de",29,"29",1,0000:2c:00.0,"OK",4096,16777216,20,10.833,11.3915,11.4252,10.99,11.5685,11.5231,19.156,16.8056
29,"n23g0012.hpc.itc.rwth-aachen.de",29,"29",2,0000:9d:00.0,"OK",4096,16777216,20,12.062,12.7325,12.7391,12.58,12.926,12.9322,18.9471,9.61601
29,"n23g0012.hpc.itc.rwth-aachen.de",29,"29",3,0000:ad:00.0,"OK",4096,16777216,20,12.304,12.6215,12.7004,12.612,13.0645,14.2362,19.0246,8.68999
30,"n23g0012.hpc.itc.rwth-aachen.de",30,"30",0,0000:1b:00.0,"OK",4096,16777216,20,10.959,11.505,11.5307,11.29,11.7745,11.7556,12.734,11.395
30,"n23g0012.hpc.itc.rwth-aachen.de",30,"30",1,0000:2c:00.0,"OK",4096,16777216,20,11.029,11.6325,11.6849,11.124,11.7915,11.7264,19.1625,16.5688
30,"n23g0012.hpc.itc.rwth-aachen.de",30,"30",2,0000:9d:00.0,"OK",4096,16777216,20,12.108,12.5845,12.6242,12.536,12.852,12.8852,18.925,8.70881
30,"n23g0012.hpc.itc.rwth-aachen.de",30,"30",3,0000:ad:00.0,"OK",4096,16777216,20,12.278,12.9895,12.9755,12.525,13.1305,14.7966,18.8775,9.13935
31,"n23g0012.hpc.itc.rwth-aachen.de",31,"31",0,0000:1b:00.0,"OK",4096,16777216,20,11.257,11.512,11.5679,11.059,11.6095,11.6107,12.7311,11.4058
31,"n23g0012.hpc.itc.rwth-aachen.de",31,"31",1,0000:2c:00.0,"OK",4096,16777216,20,10.803,11.6555,11.5806,11.212,11.634,11.636,19.206,16.9707
31,"n23g0012.hpc.itc.rwth-aachen.de",31,"31",2,0000:9d:00.0,"OK",4096,16777216,20,12.048,12.341,13.3296,12.293,12.7305,12.7138,18.6964,8.91727
31,"n23g0012.hpc.itc.rwth-aachen.de",31,"31",3,0000:ad:00.0,"OK",4096,16777216,20,12.4,12.893,12.9851,12.57,13.007,12.9884,18.6659,8.66788
32,"n23g0012.hpc.itc.rwth-aachen.de",32,"32",0,0000:1b:00.0,"OK",4096,16777216,20,11.226,11.6585,11.6251,11.433,11.7725,12.2051,12.7361,11.4136
32,"n23g0012.hpc.itc.rwth-aachen.de",32,"32",1,0000:2c:00.0,"OK",4096,16777216,20,10.916,11.6095,11.5955,11.55,11.8595,12.5886,19.1803,16.6378
32,"n23g0012.hpc.itc.rwth-aachen.de",32,"32",2,0000:9d:00.0,"OK",4096,16777216,20,12.208,12.7725,12.7069,12.38,12.8835,12.8808,19.0136,8.86397
32,"n23g0012.hpc.itc.rwth-aachen.de",32,"32",3,0000:ad:00.0,"OK",4096,16777216,20,12.595,13.024,13.0852,12.652,13.0755,13.4435,18.8637,8.67127
33,"n23g0012.hpc.itc.rwth-aachen.de",33,"33",0,0000:1b:00.0,"OK",4096,16777216,20,10.898,11.6105,11.5804,11.273,11.7235,12.4816,12.7318,11.4344
33,"n23g0012.hpc.itc.rwth-aachen.de",33,"33",1,0000:2c:00.0,"OK",4096,16777216,20,10.972,11.3895,11.5122,11.206,11.7535,12.3109,19.167,16.3383
33,"n23g0012.hpc.itc.rwth-aachen.de",33,"33",2,0000:9d:00.0,"OK",4096,16777216,20,12.036,12.6535,12.6308,12.455,13.0355,13.8432,18.7032,8.65517
33,"n23g0012.hpc.itc.rwth-aachen.de",33,"33",3,0000:ad:00.0,"OK",4096,16777216,20,12.449,12.864,13.3146,12.51,12.8545,13.6338,18.8479,9.70476
34,"n23g0012.hpc.itc.rwth-aachen.de",34,"34",0,0000:1b:00.0,"OK",4096,16777216,20,11.24,11.677,11.6612,11.448,11.705,11.7731,12.7422,11.4157
34,"n23g0012.hpc.itc.rwth-aachen.de",34,"34",1,0000:2c:00.0,"OK",4096,16777216,20,10.984,11.677,11.7102,11.277,11.759,11.7425,19.2081,16.8559
34,"n23g0012.hpc.itc.rwth-aachen.de",34,"34",2,0000:9d:00.0,"OK",4096,16777216,20,12.139,12.662,12.6239,12.368,12.764,12.7713,19.1185,8.69773
34,"n23g0012.hpc.itc.rwth-aachen.de",34,"34",3,0000:ad:00.0,"OK",4096,16777216,20,12.333,12.7485,12.7979,12.799,13.108,14.0156,19.0501,9.07643
35,"n23g0012.hpc.itc.rwth-aachen.de",35,"35",0,0000:1b:00.0,"OK",4096,16777216,20,11.278,11.6615,11.6914,11.378,11.8355,11.8112,12.733,11.4453
